v206,State,Name (corresponds with v551),Party,Senior Sen?,42- 6b. Increase Minimum Wage,127-- 6c. Federal Funding for Embryonic Stem Cell Research,168-- 6d.  Allow U. S. spy agencies to eavesdrop on suspected terrorists without first getting a court order,"353-  6e. Fund a $20 billion program to provide health insurance program for children in families earning <$43,000",163-  6f. Consideration of marriage protection amendment against gay marriage (109th Congress),96-- 6g.  Federal assistance for homeowners facing foreclosure and lending institutions at risk of failing,6h.,Occupation,DOB,Gender
1,Alabama,Richard C. Shelby,Republican,Y,yes,no,yes,no,yes,yes,yes,US House (AL-07),5/6/1934,M
2,Alaska,Ted Stevens,Republican,Y,yes,yes,yes,yes,yes,yes,yes,AK House of Representatives,11/18/1923,M
4,Arizona,John McCain,Republican,Y,yes,yes,not voting,not voting,no,not voting,not voting,US House (AZ-01),8/29/1936,M
5,Arkansas,Blanche L. Lincoln,Democratic,Y,yes,yes,yes,yes,no,yes,yes,US House (AR-01),9/30/1960,F 
6,California,Dianne Feinstein,Democratic,Y,yes,yes,yes,yes,no,yes,yes,Mayor of San Francisco,6/22/1933,F
8,Colorado,Wayne Allard,Republican,Y,yes,no,yes,no,yes,yes,yes,US House (CO-04),12/2/1943,M
9,Connecticut,Christopher J. Dodd,Democratic,Y,yes,not voting,no,yes,not voting,yes,not voting,US House (CT-02),5/27/1944,M
10,Delaware,Joe Biden,Democratic,Y,yes,yes,no,not voting,no,yes,not voting,New Castle County Council,11/20/1942,M
12,Florida,Bill Nelson,Democratic,Y,yes,yes,yes,yes,no,yes,yes,"US House, Treasurer/Insurance Comm.",9/29/1942,M
13,Georgia,Saxby Chambliss,Republican,Y,yes,no,yes,no,yes,yes,yes,US House (GA-08),11/10/1943,M
15,Hawaii,Daniel K. Inouye,Democratic,Y,yes,yes,yes,yes,no,yes,yes,US House (HI-AL),9/7/1924,M
16,Idaho,Larry E. Craig,Republican,Y,yes,no,yes,no,yes,yes,yes,US House (ID-01),7/20/1945,M
17,Illinois,Dick Durbin,Democratic,Y,yes,yes,no,yes,no,yes,yes,US House (IL-20),11/21/1944,M
18,Indiana,Richard G. Lugar,Republican,Y,yes,yes,yes,yes,yes,yes,yes,Mayor of Indianapolis,4/4/1932,M
19,Iowa,Chuck Grassley,Republican,Y,yes,no,yes,yes,yes,yes,yes,US House (IA-03),9/17/1933,M
20,Kansas,Sam Brownback,Republican,Y,yes,no,yes,not voting,yes,yes,yes,US House (KS-02),9/12/1956,M
21,Kentucky,Mitch McConnell,Republican,Y,yes,no,yes,no,yes,yes,yes,Jefferson County Executive,2/20/1942,M
22,Louisiana,Mary L. Landrieu,Democratic,Y,yes,not voting,yes,yes,no,yes,yes,Louisiana Treasurer,11/23/1955,F
23,Maine,Olympia Snowe,Republican,Y,yes,yes,yes,yes,no,yes,yes,US House (ME-02),2/21/1947,F
24,Maryland,Barbara A. Mikulski,Democratic,Y,yes,yes,yes,yes,no,yes,yes,US House (MD-03),7/20/1936,F
25,Massachusetts,Edward M. Kennedy,Democratic,Y,yes,yes,not voting,yes,no,yes,yes,lawyer,2/22/1932,M
26,Michigan,Carl Levin,Democratic,Y,yes,yes,no,yes,no,yes,yes,Detroit City Council President,6/28/1934,M
27,Minnesota,Norm Coleman,Republican,Y,yes,no,yes,yes,yes,yes,yes,"Mayor, St. Paul",8/17/1949,M
28,Mississippi,Thad Cochran,Republican,Y,yes,yes,yes,no,yes,yes,yes,US House (MS-04),12/7/1937,M
29,Missouri,"Christopher S. ""Kit"" Bond",Republican,Y,yes,no,yes,yes,yes,yes,yes,"Governor, MO",3/6/1939,M
30,Montana,Max Baucus,Democratic,Y,yes,yes,yes,yes,no,yes,yes,US House (MT-01),12/11/1941,M
31,Nebraska,Chuck Hagel,Republican,Y,yes,no,yes,no,not voting,no,yes,Electronics Executive,10/4/1946,M
32,Nevada,Harry Reid,Democratic,Y,yes,yes,no,yes,no,yes,no,US House (NV-01),12/2/1939,M
33,New Hampshire,Judd Gregg,Republican,Y,yes,yes,yes,no,no,no,yes,businessman/attorney,2/14/1947,M
34,New Jersey,Frank R. Lautenberg,Democratic,Y,yes,yes,no,yes,no,yes,yes,Information Processing Executive,1/23/1924,M
35,New Mexico,Pete V. Domenici,Republican,Y,yes,no,yes,yes,yes,yes,yes,Albuquerque City Commission Chairman,5/7/1932,M
36,New York,Charles E. Schumer,Democratic,Y,not voting,yes,no,yes,no,yes,yes,US House (NY-09),11/23/1950,M
37,North Carolina,Elizabeth Dole,Republican,Y,,no,yes,no,yes,not voting,yes,"President of the American Red Cross, Secretary of Labor",7/29/1936,F
38,North Dakota,Kent Conrad,Democratic,Y,yes,yes,yes,yes,no,yes,yes,ND Tax Commissioner,3/12/1948,M
39,Ohio,George V. Voinovich,Republican,Y,yes,no,yes,no,yes,yes,yes,Governor of Ohio,7/15/1936,M
40,Oklahoma,James M. Inhofe,Republican,Y,not voting,no,yes,no,yes,no,yes,US House (OK-01),11/17/1934,M
41,Oregon,Ron Wyden,Democratic,Y,yes,yes,no,yes,no,yes,yes,US House (OR-03),5/3/1949,M
42,Pennsylvania,Arlen Specter,Republican,Y,yes,yes,yes,yes,no,yes,yes,Philadelphia District Attorney,2/12/1930,M
44,Rhode Island,Jack Reed,Democratic,Y,yes,yes,no,yes,no,yes,no,US House (RI-02),11/12/1949,M
45,South Carolina,Lindsey Graham,Republican,Y,yes,no,yes,no,yes,yes,yes,US House (SC-03),7/9/1955,M
46,South Dakota,Tim Johnson,Democratic,Y,not voting,not voting,yes,yes,no,yes,yes,US House (SD-AL),12/28/1946,M
47,Tennessee,Lamar Alexander,Republican,Y,yes,yes,yes,yes,yes,yes,yes,Governor of Tennessee,7/3/1940,M
